,index,npi,entity_code,full_zip,state,country,provider_type,medicare_participation_indicator,number_of_hcpcs,number_of_services,total_beneficiaries,total_submitted_charges,total_allowed_payment,total_medicare_payment,total_medicare_standardized_payment,avg_beneficiary_age,avg_hcc_risk_score,medicare_payment_per_person,submitted_charges_per_person,services_per_person,submitted_charges_per_service,medicare_payment_per_service,percentage_rate,region,subregion,total_pop,percent_black,percent_white,percent_native_amer,percent_hispanic,percent_other,percent_asian,percent_two_or_more_races,majority,payrate_level,ypred_rf
9194,414977,1740248814,I,76904,TX,US,Anesthesiology,Y,4,19.0,18,13003.41,12988.26,10117.51,10367.09,69,0.5123,562.08,722.41,1.06,684.39,532.5,0.7780659073273857,South,West South Central,35697.0,0.04748298176317338,0.628035969409194,0.0028293694147967607,0.29117292769700537,0.0006162982883715719,0.015155335182228197,0.014034792839734432,majority_white,very high,low
40098,188296,1902046576,O,80124,CO,US,Radiation Therapy Center,Y,11,2269.0,114,1321772.03,1301640.62,1020198.89,1018270.8,73,0.9824,8949.11,11594.49,19.9,582.54,449.62,0.7718417902972271,West,Mountain,21384.0,0.021043771043771045,0.7703890759446315,0.0006546950991395433,0.07491582491582492,0.007061354283576507,0.09923307145529367,0.0255331088664422,majority_white,very high,low
43149,195768,1083061261,O,33314,FL,US,Clinical Laboratory,Y,19,98.0,20,67523.1,55340.15,54233.31,54233.31,66,1.2291,2711.67,3376.16,4.9,689.01,553.4,0.8031815778600211,South,South Atlantic,26188.0,0.11245608675729342,0.3526424316480831,0.0029402779899190467,0.4586451809989308,0.006949747976172292,0.03841454101115015,0.0220329922101726,no_majority,very high,low
147142,694967,1285926758,I,71103,LA,US,Pathology,Y,16,153.0,34,51434.0,44546.63,43655.41,44185.01,70,2.8392,1283.98,1512.76,4.5,336.17,285.33,0.8487656025197341,South,West South Central,6720.0,0.86875,0.09375,0.0023809523809523807,0.01949404761904762,0.004464285714285714,0.004166666666666668,0.005654761904761905,majority_black,very high,low
152542,917869,1194757310,I,52339,IA,US,Family Practice,Y,3,21.0,17,1172.41,1172.41,900.68,996.32,47,0.9667,52.98,68.97,1.24,55.83,42.89,0.7682295442720549,Midwest,West North Central,4213.0,0.010443864229765013,0.5219558509375741,0.20246854972703532,0.24092095893662474,0.0,0.007595537621647281,0.01661523854735343,majority_white,very high,low
153997,425636,1891162665,O,75057,TX,US,Clinical Laboratory,Y,60,22629.0,2757,17936649.31,16263589.06,15938302.66,15938303.06,71,1.6822,5781.03,6505.86,8.21,792.64,704.33,0.8885886312731841,South,West South Central,14111.0,0.1179930550634257,0.3626249025582879,0.00035433349868896607,0.4597831478988024,0.0,0.022323010417404858,0.03323648217702502,no_majority,very high,low
189029,78264,1194760439,O,43215,OH,US,Clinical Laboratory,Y,10,358.0,90,14268.0,11836.71,11598.68,11598.68,52,1.1803,128.87,158.53,3.98,39.85,32.4,0.8129156153630502,Midwest,East North Central,14440.0,0.12624653739612188,0.7614265927977839,0.0002770083102493075,0.03095567867036011,0.0042936288088642645,0.045637119113573404,0.03116343490304709,majority_white,very high,low
194694,572022,1649345737,I,11771,NY,US,Oral Surgery (Dentist only),Y,9,26.0,20,28229.78,27440.25,21365.73,23267.41,74,1.8036,1068.29,1411.49,1.3,1085.76,821.76,0.7568507441432416,Northeast,Middle Atlantic,9500.0,0.019789473684210527,0.7871578947368421,0.0,0.08863157894736842,0.03557894736842105,0.06010526315789474,0.008736842105263156,majority_white,very high,low
205065,290297,1215003603,O,94063,CA,US,Clinical Laboratory,Y,6,27852.0,27007,125511590.0,100665395.7,98343875.58,98569627.52,71,0.8759999999999999,3641.42,4647.37,1.03,4506.38,3530.94,0.7835441777129905,West,Pacific,34503.0,0.02251978088861838,0.19192533982552248,0.0012462684404254702,0.6724342810770078,0.005129988696635075,0.08010897603106976,0.017447758165956586,majority_hispanic,very high,low
212377,409096,1659866572,O,77025,TX,US,Clinical Laboratory,Y,12,2953.0,365,2761525.58,2381396.4,2333765.86,2333765.86,71,1.6282,6393.88,7565.82,8.09,935.16,790.3,0.8451002144981036,South,West South Central,28955.0,0.11127611811431533,0.5016404766016233,0.001588672077361423,0.17806941806251078,0.002693835261612848,0.17157658435503367,0.03122085995510275,majority_white,very high,low
213602,346069,1821253584,O,92618,CA,US,Clinical Laboratory,Y,2,3107.0,2710,11813100.0,10847881.82,10616892.92,10612731.3,71,0.8808,3917.67,4359.08,1.15,3802.09,3417.09,0.8987389355884569,West,Pacific,43316.0,0.026318219595530518,0.4201911533844307,0.0016622033428756115,0.08052451749930742,0.0055637639671253115,0.4240696278511405,0.04164742820205005,no_majority,very high,low
2166,659618,1235252032,I,48197,MI,US,Vascular Surgery,Y,110,1801.0,909,1052633.3,578115.24,449696.43,435995.41,74,2.4209,494.72,1158.01,1.98,584.47,249.69,0.4272109100101621,Midwest,East North Central,68102.0,0.24621890693371706,0.5846964846847376,0.001013186103198144,0.06120231417579512,0.0034360224369328358,0.0510557692872456,0.05206895539044375,majority_white,high,low
4032,720351,1558583021,I,37421,TN,US,Plastic and Reconstructive Surgery,Y,27,381.0,251,326883.76,240528.26,185276.85,200319.71,75,1.2919,738.15,1302.33,1.52,857.96,486.29,0.5667973532854614,South,East South Central,50927.0,0.1919806782256956,0.6757712019164687,0.0004516268384157716,0.060007461660808614,0.005262434465018557,0.04573212637697096,0.02079447051662183,majority_white,high,low
7610,338062,1730514027,O,93726,CA,US,Ambulatory Surgical Center,Y,16,835.0,299,10548250.0,5760962.57,4515724.58,4288668.06,64,1.3988,15102.76,35278.43,2.79,12632.63,5408.05,0.4281017780200507,West,Pacific,43209.0,0.08343169247147585,0.2670277025619663,0.003610358952995904,0.5204934157235761,0.001018306371357819,0.10895878173528664,0.014858015691175447,majority_hispanic,high,low
13416,800343,1376961193,I,98118,WA,US,Family Practice,Y,7,16.0,12,1040.34,499.26,480.32,480.32,65,1.7153,40.03,86.7,1.33,65.02,30.02,0.4616952150258571,West,Pacific,48436.0,0.2370550829961185,0.30221322982905274,0.002477496077297877,0.07911470806837889,0.0013213312412255348,0.3012841688000661,0.06926666116111982,no_majority,high,low
13605,523641,1023264157,I,10507,NY,US,Interventional Radiology,Y,131,2332.0,865,3200991.71,1811890.53,1418710.85,1200087.03,75,2.781,1640.13,3700.57,2.7,1372.64,608.37,0.4432097857573021,Northeast,Middle Atlantic,7068.0,0.07781550650820597,0.5301358234295416,0.0009903791737408036,0.33305036785512165,0.0,0.0321165817770232,0.025891341256366725,majority_white,high,low
